50 35
44 19 -862023961
12 33 -862023961
36 12 -862023961
22 26 -862023961
23 44 -862023961
18 9 -862023961
30 32 -862023961
3 8 -862023961
30 5 -862023961
16 48 -862023961
44 17 1844326561
4 13 1844326561
28 24 1844326561
2 24 1844326561
42 15 1844326561
40 3 1844326561
50 25 1844326561
17 21 1844326561
2 41 1844326561
16 20 1844326561
1 47 -1794049550
6 30 -1794049550
7 22 -1794049550
29 3 -1794049550
40 42 -1794049550
26 43 -1794049550
5 4 -1794049550
17 8 -1794049550
29 10 -1794049550
23 18 -1794049550
15 24 -2123621041
44 45 -2123621041
21 12 -2123621041
14 24 -2123621041
8 16 -2123621041
76 34
71 21 1007679586
33 76 1007679586
7 63 1007679586
71 29 1007679586
56 37 1007679586
62 54 1007679586
66 50 1007679586
47 15 1007679586
22 55 1007679586
52 19 1007679586
42 47 -1827091
69 59 -1827091
54 59 -1827091
3 48 -1827091
4 13 -1827091
72 52 -1827091
13 2 -1827091
54 23 -1827091
30 33 -1827091
76 31 -1827091
11 65 -1105048744
20 26 -1105048744
35 71 -1105048744
60 16 -1105048744
57 35 -1105048744
21 49 -1105048744
18 74 -1105048744
32 36 -1105048744
62 51 -1105048744
49 73 -1105048744
42 1 -1237244961
39 43 -1237244961
51 38 -1237244961
73 1 -1237244961
75 29
11 72 1479247351
14 33 1479247351
44 50 1479247351
74 36 1479247351
22 72 1479247351
55 67 1479247351
54 36 1479247351
10 13 1479247351
21 46 1479247351
75 50 1479247351
15 50 1925108192
22 69 1925108192
62 43 1925108192
32 72 1925108192
39 10 1925108192
42 29 1925108192
43 62 1925108192
3 18 1925108192
22 25 1925108192
66 1 1925108192
16 44 1257700663
33 34 1257700663
25 9 1257700663
60 40 1257700663
35 3 1257700663
8 56 1257700663
48 69 1257700663
23 5 1257700663
43 39 1257700663
64 36
13 46 -791315351
28 41 -791315351
29 27 -791315351
15 20 -791315351
8 51 -791315351
60 4 -791315351
39 58 -791315351
40 38 -791315351
25 1 -791315351
55 27 -791315351
3 57 -97904639
22 63 -97904639
20 37 -97904639
41 32 -97904639
18 64 -97904639
42 45 -97904639
41 7 -97904639
8 55 -97904639
26 15 -97904639
42 21 -97904639
18 16 -867599246
53 39 -867599246
57 44 -867599246
1 60 -867599246
36 64 -867599246
36 57 -867599246
63 56 -867599246
29 39 -867599246
23 47 -867599246
38 1 -867599246
27 14 119845062
5 32 119845062
49 46 119845062
53 2 119845062
61 3 119845062
59 50 119845062
49 3
38 41 2025460968
11 27 2025460968
37 35 2025460968
0 0
