Test Set #1
 1 to  2: 1
 1 to  3: 2
 1 to  4: 3
 1 to  5: 4
 1 to  6: 5
 1 to  7: 6
 1 to  8: 7
 1 to  9: 8
 1 to 10: 9
 1 to 11: 10
 1 to 12: 11
 1 to 13: 12
 1 to 14: 13
 1 to 15: 14
 1 to 16: 15
 1 to 17: 16
 1 to 18: 17
 1 to 19: 18
 1 to 20: 19

Test Set #2
 1 to  2: 1
 1 to  3: 1
 1 to  4: 1
 1 to  5: 1
 1 to  6: 1
 1 to  7: 1
 1 to  8: 1
 1 to  9: 1
 1 to 10: 1
 1 to 11: 1
 1 to 12: 1
 1 to 13: 1
 1 to 14: 1
 1 to 15: 1
 1 to 16: 1
 1 to 17: 1
 1 to 18: 1
 1 to 19: 1
 1 to 20: 1
 1 to  2: 1
 2 to  3: 1
 3 to  4: 1
 4 to  5: 1
 5 to  6: 1
 6 to  7: 1
 7 to  8: 1
 8 to  9: 1
 9 to 10: 1
10 to 11: 1
11 to 12: 1
12 to 13: 1
13 to 14: 1
14 to 15: 1
15 to 16: 1
16 to 17: 1
17 to 18: 1
18 to 19: 1
19 to 20: 1

